nom,description,prix,categorie,taille,couleur,stock,image
T-shirt Basic,T-shirt en coton bio coupe classique,15000 Ar,Vetements,"S, M, L, XL","Noir, Blanc, Gris",disponible,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400
Jean Slim Homme,Jean stretch coupe slim confortable,35000 Ar,Vetements,"38, 40, 42, 44","Bleu, Noir",disponible,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400
Robe d'ete,Robe legere fleurie pour femme,28000 Ar,Vetements,"S, M, L","Rose, Bleu ciel",disponible,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=400
Sac a main cuir,Sac en cuir veritable avec bandouliere,50000 Ar,Accessoires,Unique,"Marron, Noir, Beige",disponible,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400
Baskets Sport,Chaussures de sport legeres et respirantes,42000 Ar,Chaussures,"39, 40, 41, 42, 43","Blanc, Noir",disponible,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
Casquette Logo,Casquette ajustable avec logo brode,12000 Ar,Accessoires,Unique,"Noir, Bleu, Rouge",disponible,https://images.unsplash.com/photo-1588850561407-ed78c334e67a?w=400
Chemise Lin,Chemise en lin manches longues,32000 Ar,Vetements,"S, M, L, XL","Blanc, Beige, Bleu ciel",rupture,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=400
Montre Classic,Montre analogique bracelet cuir,65000 Ar,Accessoires,Unique,"Noir, Marron",disponible,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400
Short Sport,Short de sport respirant avec poches,18000 Ar,Vetements,"S, M, L, XL","Noir, Gris, Bleu",disponible,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=400
Lunettes de soleil,Lunettes UV400 style aviateur,25000 Ar,Accessoires,Unique,"Noir, Dore",disponible,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400
